id,target_cls,target_reg
1,26,8.177484174892232
2,12,10.291391109721028
3,1,4.591145784819789
4,5,6.055463179956552
5,17,7.920963449911563
6,5,7.456326064712405
7,15,5.56903715883551
8,17,5.7304227293076835
9,7,8.063842901073178
10,15,5.14350536109551
11,2,6.715913315521106
12,16,5.938033975276891
13,22,7.76391698867397
14,17,8.440755243678824
15,13,9.948142028428558
16,22,6.773943759651429
17,2,7.543856124883646
18,24,9.85872709196632
19,2,8.822645275496845
20,4,7.461960053645314
21,2,6.24486951769876
22,8,8.838113323966942
23,17,11.924181529109157
24,15,6.0018306265039945
25,23,8.597300884070835
26,26,6.812780323507227
27,14,3.848565043608785
28,7,7.211096232018177
29,19,7.124352332207413
30,24,9.798328149418898
31,18,9.571740840849447
32,10,4.621767287391213
33,18,4.964847330653177
34,9,5.302078436378007
35,24,8.939251282422036
36,25,6.644618046892373
37,21,7.362954197893449
38,9,5.918986935913635
39,4,6.646292014734269
40,24,4.521883671306281
41,12,4.427063149596754
42,13,8.216191975627611
43,7,7.531220905092684
44,21,4.590074639030194
45,23,8.404549157235824
46,6,6.840481878707065
47,4,8.129097987277627
48,24,6.414612856626981
49,1,7.768671623252054
50,23,8.334957843782538
51,17,11.896554012973317
52,13,4.574236866636294
53,20,7.565930249501951
54,11,8.79516960220838
55,18,7.564423933208901
56,5,6.386161361867574
57,24,9.234995528747449
58,15,8.221485076143264
59,20,9.354191811897637
60,10,6.009206814142754
61,15,6.7727962175332195
62,21,7.211084850629981
63,7,8.080955784391106
64,24,9.510022939717585
65,20,8.319751125780973
66,5,9.436021132495958
67,14,5.202361610523026
68,17,7.36547222563505
69,9,4.717406551856509
70,18,7.570600151490464
71,2,8.11324638227174
72,20,6.558060795229169
73,18,8.21227819711894
74,8,8.208864561143445
75,1,5.149951086578929
76,12,2.5286438321887426
77,23,8.28354270889599
78,17,5.547441385707958
79,16,5.4720465660743915
80,11,8.15986253036889
81,19,6.397746826823728
82,7,10.916912712140219
83,9,8.739073514196667
84,19,8.776013900314796
85,15,9.216802011092012
